assignedrxelm,partner,rxelmname,rxelmcolor
R1,Akepe,Swamp City,#58c66d
R2,Not assigned,Not Assigned,#C96480
R3,Algo Leagues,Algo Leagues,#9fecbd
R4,Algobots,Metabots,#862aa3
R5,AlgoOctopus,Blop Lantis,#fd1819
R6,AlgoTheOwl,Hootopia,#5BC0EB
R7,Bambino,BambiSpace,#56e39c
R8,Not assigned,Not Assigned,#087CA7
R9,Not assigned,Not Assigned,#ff2400
R10,Not assigned,Not Assigned,#FF9000
R11,Breadhead,Breadverse,#9BC53D
R12,CEC,CEC Industries,#3bc7ff
R13,CGF,Pondverse,#823fe8
R14,Coffee Bits,Roar Cafe,#ef90be
R15,Dale,Godworld,#c51eeb
R16,Doofy,Doofyverse,#7bb6e4
R17,Dragonfi,DragonFi Rxelm,#6cd3f5
R18,Flemmish Giants,Flemmyville,#9e0b6e
R19,Foodie,Foodie City,#417d4b
R20,Gekofam,Gekotta,#cb6c2f
R21,Ghetto Pigeons,Ghetto Estate,#8c86fe
R22,Goanna,Goannaverse,#15993b
R23,Gullys,Gully Beach,#6efe6b
R24,H&Y,New Bork City,#aa5f59
R25,Heepow,Watering hole,#28e62c
R26,Immortal Jolly,Jollyverse,#d5a3d5
R27,Little Royals,Royal Realm,#00e3d0
R28,Lundis,Lundtropolis,#dc9d43
R29,Manytapes,Coolie town,#55a664
R30,Mellows,Mellowland,#3083DC
R31,Mental Marvins,Mental Asylum,#53A2BE
R32,Meowlgo,Planet Purr,#87fbcd
R33,MNGO,Basement,#8018de
R34,Monzverse,Monzverse,#5F021F
R35,MOO,Terra Moo,#fa4696
R36,Not assigned,Not Assigned,#35dbd6
R37,Project Raven,Raven City,#51e5ff
R38,Pyreness Pack,Pack City,#f4a698
R39,Cave Frens,The Cave,#26ed9f
R40,Seafolk,The Lagoon,#ff2400
R41,Shep,The Pasture,#2fa6bd
R42,Shitty Kitties,SK Club,#4158c2
R43,Sigh!,Sigh City,#5ce41e
R44,Skulis,CEC Industries,#Ca054d
R45,Public,Public rxelm,#6F2DBD
R46,Public,Public rxelm,#6F2DBD
R47,B-KARTEL,Squadland,#FC6DAB
R48,Taco Coin,Land of Tacos,#45a427
R49,Unknown,The Treehouse,#0c838d
R50,Thurstober,The Stables,#784fff
R51,Tucan Tribe,4-20 Tribe,#2f45ed
R52,Unpleasant Pheasants,Pheasant Crescent,#8e79f7
R53,Yetifam,Yetisville,#47acde
R54,Not assigned,Not Assigned,#ff2400
R55,Public,Art District,#149bf6
R56,Public,Public rxelm,#6F2DBD
R57,Not assigned,Not Assigned,#fe5f55
R58,Wizards of Algo,Society of Magic,#820263
R59,Spawnlings,Rxelm of Mortals,#af0f40
R60,Akita,Akitaverse,#B9FAF8
R61,Belindas,Belindas Garden,#657ED4
R62,BillyBigBeak,Billy Land,#633dfc
R63,Oink Oink Yeah Club,The Lost Lands,#E54F6D
R64,Not assigned,Not Assigned,#1c89e6
R65,Not assigned,Not Assigned,#35e8e2
R66,Not assigned,Not Assigned,#5aad8e
R67,Not assigned,Not Assigned,#48B8D0
R68,Not assigned,Not Assigned,#b7f264
R69,Not assigned,Not Assigned,#c34e81
R70,Not assigned,Not Assigned,#5DFDCB
R71,Not assigned,Not Assigned,#43fb37
R72,Not assigned,Not Assigned,#3efbb7
R73,Not assigned,Not Assigned,#3ad5e0
R74,Not assigned,Not Assigned,#E55934
R75,Not assigned,Not Assigned,#6b9d47
R76,Not assigned,Not Assigned,#ec33cd
R77,Not assigned,Not Assigned,#9bdaa3
R78,Not assigned,Not Assigned,#65a60c
R79,Not assigned,Not Assigned,#09f4dc
R80,Not assigned,Not Assigned,#41cbe0
R81,Not assigned,Not Assigned,#04A777
R82,Not assigned,Not Assigned,#298151
R83,Not assigned,Not Assigned,#6dadf7
R84,Not assigned,Not Assigned,#cc8916
R85,Not assigned,Not Assigned,#8ACB88
R86,Not assigned,Not Assigned,#FA7921
R87,Not assigned,Not Assigned,#007524
R88,Not assigned,Not Assigned,#bf11a8
R89,Womp Crew,Womp District,#e02264
R90,AlgoBuddy,AlgoBuddy District,#db2ab3
R91,Coop,Coop District,#55dde0
R92,Dark Coin,Dark Coin District,#f0695e
R93,Fractal-labs,Fractal-labs District,#21568e
R94,Ghetto Pigeons,Ghetto Pigeons District,#fb8b24
R95,Hans,Hans District,#34aff3
R96,House of Peace,House of Peace District,#e05433
R97,JoeJoBabbit,JoeJoBabbit District,#466ae3
R98,Sus,Sus District,#a93806
R99,Worms,Worms District,#81b823
R100,MetaPunks,MetaPunks District,#c035f2
